title,new_man,old_man,new_model,old_model
2008 Ford F-350 U/T,76,76,19079,19079
2013 Ford Transit Van,76,76,374420,374420
1992 Red River Live Floor Trailer,,,,
2008 Ford F-150 P/U,76,76,396355,396355
2006 Chevrolet Silverado 1500 P/U,37324,37324,414745,414719
Blyss,,,,
1 - Blyss Tarkali 28 Blyss Tarkali 28L Dehumidifier Blyss Tarkali 28,,,,
Blyss,,,,
1 - Blyss Tarkali 28 Blyss Tarkali 28L Dehumidifier Blyss Tarkali 28,,,,
"1 - Quantity of Various Cable, USB Leads and Power Leads",3622,3622,,
Dell,30557,30557,,
1 - Dell Latitude E7250 Core i5 Vpro Laptop Computer Dell Latitude E7250,44154,30557,,
3 - Motor Evaluation Boads to Include:,,,,
2008 Chevrolet Silverado 1500 P/U,37324,37324,414745,414719
Dell,30557,30557,,
1 - Dell Latitude E5440 Core i5 Vpro Laptop Computer Dell Latitude E5440,44154,30557,,
1 - Quantity of Various Hand Tools on Mobile Trolley,,,,
"1 - Quantity of Pyrex, Schutt Volumetric Flasks and General Laboratory Glassware",34658,34658,,
1 - RS232 Isolators to Include:,,,,
1 - Quantity of Actuators and Motors to Include:,,,,
1 - Quantity of Baxter Sterile Water on Racking and Pallets and Quantity of Proxima Flush Solution,,,,
"1 - Large Quantity of General Laboratory Glassware Indlucing Flasks, Bottles, Cylinders, Beakers and Mis",34658,34658,,
2002 Chevrolet Blazer SUV,37324,37324,375123,375123
2005 Chevrolet Silverado 1500 P/U,37324,37324,414745,414719
1 - Quantity of Temperature Measurement Equipment to Include:,,,,
1 - Quantity of Assorted Development Kits to Include:,,,,
Princeton Applied Research,10376,102697,,
1 - Princeton Applied Research VMP3 Potentiostat Princeton Applied Research VMP3,10376,10376,,
Carroll and Meynell,,,,
QTY OF (3) HUSKY 3 WHEELED BICYCLES W/ BASKET,1652,1652,,
1 - Carroll and Meynell 110V Site Transformer Carroll and Meynell,,,,
"MAKITA 18V COMBO SET, HAMMER DRILL, DRILL, CHARGER, BATTERY AND",2001,2001,,
"QTY OF MISC PLEATED FILTERS, WEATHERPROOFING MATERIAL, LIGHT BULBS",,,,
"QTY OF MISC WORK LIGHTS, CLIP LIGHTS, WET/DRY VAC FILTERS",,,,
(2) FLO-TEK FTG50 MECHANICAL VALVES,,,,
QTY OF VARIOUS SIZE EXPANSION JOINTS,,,,
Multivac,1694,1694,,
1 - Multivac C300 Free Standing Vacuum Packer Multivac C300,1694,1694,,
QTY OF PIPE CLEAN-OUTS,,,,
QTY OF VARIOUS SIZE EXPANSION JOINTS,,,,
(2) BOXES OF CARBON GRAPHITE SEALS,,,,
QTY OF SAFETY ORANGE PIPE CAP COVERS OF VARIOUS SIZES,,,,
1 - Quantity of Sundry Items to Include:,,,,
1 - Hydraulic Pallet Truck,,,,
(2) ECKO CONFINED SPACE BLOWERS &amp; A QTY OF FLEXIBLE,,,,
QTY OF SS FILTERS/STRAINERS,,,,
"(3) GARLOC 24"" ID RUBBER EXPANSION JOINTS &amp; QTY OF",,,,
"QTY OF SS BRAIDED HOSE, SS PIPE, FLANGES, &amp; VALVES",,,,
Sauter,8221,8221,,
1 - Sauter FK100 Digital Force Gauge Sauter FK100,10577,8221,,
"ASSORTMENT OF VALVES, FLANGES, DISCHARGE HOSE, &amp; OTHER PARTS",,,,
"QTY OF MISC FLANGES &amp; GASKETS, OIL FILTERS, SHUT OFF",,,,
QTY OF ASSORTED COMPUTER PARTS &amp; ELECTRONICS,,,,
QTY OF ASSORTED COMPUTER PARTS &amp; ELECTRONICS,,,,
QTY OF ASSORTED COMPUTER PARTS &amp; ELECTRONICS,,,,
QTY OF ASSORTED COMPUTER PARTS &amp; ELECTRONICS,,,,
QTY OF ASSORTED COMPUTER PARTS &amp; ELECTRONICS,,,,
QTY OF ASSORTED COMPUTER PARTS &amp; ELECTRONICS,,,,
"6"" AUGER, 3PT HITCH, TO FIT TRACTOR",,,,
SERVIS SR SN: 011699,,,,
"8' HYD DOZER BLADE, TO FIT TRACTOR",,,,
(1) CASE OF MAROTTA YELLOW REFLECTIVE TAPE,75,75,,
(1) CASE OF MAROTTA YELLOW REFLECTIVE TAPE,75,75,,
(1) CASE OF MAROTTA RED &amp; WHITE REFLECTIVE TAPE,75,75,,
(1) CASE OF MAROTTA RED &amp; WHITE REFLECTIVE TAPE,75,75,,
MAROTTA TOTO,,,,
MAROTTA TOTO,,,,
MAROTTA TOTO,,,,
MAROTTA TOTO,,,,
MAROTTA TOTO,,,,
MAROTTA TOTO,,,,
MAROTTA GIULIANA,,,,
SS APPLIANCE STAND W/RACK,,,,
LEADING EDGE ENVIRONMENTAL AIR CURTAIN,,,,
EDLUND CAN OPENER,,,,
EDLUND TOMATO SLICER,,,,
2007 PONTIAC GRAND PRIX VIN: 2G2WP552471194032,37861,37861,44443,44443
2006 CHEVROLET SILVERADO 1500 VIN: 1GCEC19V46Z267079,37324,37324,414745,414719
Dell,30557,30557,,
1 - Dell Latitude E5470 Core i5 Laptop Dell Latitude E5470,44154,30557,,
Hewlett Packard,56950,56950,,
1 - Hewlett Packard Probook Intel Core i5 Laptop Hewlett Packard Probook,44154,56950,,
Dell,30557,30557,,
"1 - Dell Latitude E5520 Laptop, Dell Latitude E5520",30557,30557,,
Hewlett Packard,56950,56950,,
Dell,30557,30557,,
